short_ma,short_ma_length,long_ma,long_ma_length,rsi_length,rsi_threshold,total_final_balance
ema,35,sma,40,14,35,23922312.929317
sma,55,ema,240,7,30,23910719.9204354
sma,65,ema,120,7,35,23873753.415973466
ema,85,ema,105,3,35,23832945.73371982
ema,25,sma,50,14,45,23716075.301215194
sma,55,sma,75,3,10,23696549.405644014
ema,85,sma,240,3,20,23619960.102298602
sma,100,sma,240,14,30,23572192.79389816
ema,85,sma,240,3,25,23563608.304782737
sma,55,ema,240,7,35,23507315.83526831
ema,55,sma,240,3,20,23486560.430136833
sma,100,sma,240,14,35,23464853.761762712
ema,55,sma,240,3,15,23439367.211695608
sma,100,sma,240,7,45,23424976.033155307
sma,60,sma,70,7,30,23382301.817315705
sma,60,sma,70,14,35,23334761.328304604
ema,80,ema,110,3,40,23327703.859931007
ema,80,ema,110,3,35,23314226.71596637
ema,80,ema,110,3,45,23312718.13896001
sma,20,ema,30,14,35,23298085.321675166
sma,65,sma,70,7,45,23264858.872078385
ema,30,sma,45,7,30,23218462.573812153
ema,90,ema,100,3,15,23178823.499627743
ema,90,ema,100,3,10,23151193.152173553
sma,20,sma,25,3,45,23073976.99861202
ema,35,sma,40,7,10,23070393.60435651
ema,35,sma,40,14,25,23058661.462664552
ema,35,sma,40,14,20,23052305.783251777
ema,35,sma,40,14,15,23048469.957765337
ema,35,sma,40,14,10,23048197.80920141
ema,85,ema,105,3,15,22988669.77044559
ema,85,ema,105,3,10,22986914.23953168
ema,25,sma,50,7,30,22912412.438055206
sma,65,ema,240,7,40,22881500.13684644
ema,20,sma,45,3,30,22879284.837393653
sma,60,ema,240,14,35,22877409.286570325
ema,30,sma,45,14,40,22832711.824097294
ema,85,sma,240,14,25,22819214.53446372
sma,60,sma,70,7,40,22799615.01015031
sma,55,sma,75,7,45,22778508.27356584
sma,65,sma,240,7,25,22753032.98540454
sma,105,sma,240,7,10,22748476.562084176
sma,105,sma,240,14,20,22726617.356181998
sma,105,sma,240,14,10,22719312.08586088
sma,105,sma,240,14,15,22718859.143395834
sma,105,sma,240,14,25,22701431.55409684
sma,105,sma,240,14,30,22699803.25432357
sma,105,sma,240,14,35,22698078.14864039
ema,20,sma,45,3,40,22668414.41699134
ema,20,sma,50,14,45,22658900.159426395
sma,55,sma,75,14,40,22631140.228468012
ema,20,sma,50,14,40,22621775.63572554
ema,85,sma,240,14,35,22601451.713460743
ema,85,sma,240,14,40,22595946.852667473
sma,65,ema,120,7,40,22571467.418938316
ema,85,sma,240,14,45,22558865.2965868
sma,55,sma,75,7,20,22542669.059298098
ema,105,sma,240,3,10,22518095.577585306
sma,65,sma,240,7,20,22261516.391563922
ema,75,ema,120,3,45,22194737.399329904
sma,60,ema,240,14,40,22165288.43134335
sma,15,ema,25,3,20,22122537.19447583
sma,55,sma,240,7,20,22101628.254177988
ema,95,sma,240,14,45,22099252.220672663
sma,55,sma,240,7,25,22095242.99950976
ema,80,sma,240,3,30,22025376.411795225
sma,15,ema,25,3,25,21987325.614156175
ema,85,ema,110,7,45,21971723.12282873
sma,75,sma,240,3,20,21951675.63114784
ema,20,sma,50,7,25,21926284.364772942
ema,30,sma,45,7,20,21921884.64824152
ema,20,sma,50,7,20,21916418.175092753
ema,30,sma,45,7,25,21914246.321530357
ema,30,sma,45,7,15,21913026.13849692
ema,30,sma,45,14,35,21905829.217918977
ema,30,sma,45,14,30,21901455.12529701
sma,55,sma,75,7,40,21832723.51954268
sma,60,sma,70,7,25,21815954.070880014
ema,55,sma,240,3,25,21799184.377347752
sma,65,sma,240,3,10,21750730.968833797
ema,60,sma,240,14,40,21740379.522027362
ema,55,sma,240,3,30,21730227.12778397
sma,65,sma,240,3,15,21721593.772620056
ema,60,sma,240,14,45,21665832.176329684
ema,55,sma,240,3,35,21660749.264109883
ema,55,sma,240,3,40,21647171.79582147
ema,55,sma,240,3,45,21646275.520529393
sma,55,sma,80,3,30,21606607.13853885
sma,55,sma,75,7,15,21594770.822090436
ema,80,sma,240,3,20,21564799.970601946
sma,65,sma,240,14,30,21555573.40995819
ema,80,sma,240,3,25,21543335.969361037
ema,35,sma,240,3,30,21520648.70498831
ema,20,sma,50,14,25,21395805.073119733
ema,20,sma,50,14,20,21395097.632657412
ema,20,sma,50,14,15,21394865.865908958
ema,20,sma,50,14,10,21394865.865908958
ema,20,sma,50,14,30,21391712.302855976
ema,20,sma,50,7,15,21374666.42201565
ema,35,sma,240,3,35,21372214.93216751
ema,20,sma,50,7,10,21370119.491094973
sma,55,sma,80,3,20,21367471.524459545
ema,35,sma,240,3,40,21364316.368583012
ema,20,sma,50,14,35,21363663.099449303
ema,85,sma,240,3,35,21330199.188737266
sma,70,ema,120,7,25,21329577.437619064
ema,90,sma,240,14,30,21328263.931282263
ema,50,sma,55,7,25,21325617.6429741
sma,75,ema,240,14,30,21324570.704073276
ema,65,sma,240,7,25,21255854.92923617
ema,65,sma,240,7,35,21251274.69911331
sma,55,sma,75,7,30,21231875.856211517
ema,50,sma,55,3,10,21216646.06648737
ema,35,sma,40,7,35,21215429.38395042
ema,65,sma,240,7,30,21211512.271780107
ema,85,sma,240,7,45,21205126.698022038
ema,90,sma,240,14,45,21179313.39231987
sma,80,sma,240,7,10,21173480.19264168
sma,80,sma,240,14,10,21155781.64095502
sma,80,sma,240,7,15,21141804.2738332
sma,55,sma,80,3,15,21140307.07881826
ema,65,sma,240,3,30,21139513.29205573
ema,65,sma,240,3,25,21133788.95776953
ema,25,sma,50,7,25,21131963.173125155
ema,55,sma,240,3,10,21130138.641916476
ema,35,sma,240,3,25,21129808.456175007
ema,25,sma,50,7,20,21128343.858325697
sma,80,sma,240,14,35,21124305.688871473
sma,80,sma,240,14,20,21121046.93696527
ema,20,sma,45,7,45,21120935.882005263
ema,25,sma,50,14,35,21118586.26257986
sma,80,sma,240,14,15,21117832.112226695
sma,80,sma,240,14,25,21117599.602625184
ema,80,ema,110,3,20,21114874.84482239
sma,80,sma,240,14,30,21113614.771897063
sma,55,sma,65,7,45,21105916.11531729
ema,80,ema,110,3,30,21095753.995407015
ema,80,ema,110,3,25,21068576.124951575
sma,55,sma,75,14,25,21036273.15879506
sma,70,ema,120,14,40,21006706.428782508
sma,60,sma,240,7,25,20996717.305781625
ema,25,sma,50,14,40,20970534.46149698
sma,55,sma,75,14,15,20954728.18641582
sma,55,sma,75,14,20,20947293.294567507
sma,55,sma,75,14,10,20946095.60893901
sma,55,sma,75,7,35,20927416.727222063
sma,55,sma,75,7,10,20918256.518483452
ema,30,sma,45,3,25,20857765.91071638
sma,20,ema,30,7,20,20837172.551056083
ema,30,sma,45,14,45,20829775.04334029
ema,80,sma,240,14,35,20802632.64863484
